Comparison: RAF-DB vs FairFace
Emotion: Surprise
Race Group Pair | D Value | P Value
S.A vs M.E | 0.044444624067447196 | 0.0569
S.A vs L.H | -0.166530388655419 | 0.0415
M.E vs L.H | -0.007634626532017082 | 0.0178

Emotion: Neutral
Race Group Pair | D Value | P Value
White vs Black | -0.0796734487636117 | 0.0513
White vs Indian | -0.04920861412232049 | 0.0185
White vs East | 0.047876700634757796 | 0.064
White vs S.A | -0.018658436300269924 | 0.0085
White vs M.E | -0.059447339541392925 | 0.0497
White vs L.H | 0.09819805301264617 | 0.0178
Black vs Indian | 0.009659782557171785 | 0.058
Black vs East | -0.0012377801079266786 | 0.0495
Black vs S.A | 0.033559602881113385 | 0.0131
Black vs M.E | 0.02562021994564125 | 0.043
Black vs L.H | -0.03642100901273433 | 0.029
Indian vs East | 0.04388920061660242 | 0.0076
Indian vs S.A | 0.003116437286957733 | 0.0342
Indian vs M.E | 0.013239105375977247 | 0.0231
Indian vs L.H | -0.15036851596750508 | 0.0846
East vs S.A | -0.05872722096569936 | 0.0598
East vs M.E | 0.019545971160820186 | 0.0208
East vs L.H | -0.07259928413937831 | 0.0455
S.A vs M.E | 0.07763316492992414 | 0.0684
S.A vs L.H | -0.009764452976605291 | 0.064
M.E vs L.H | -0.0775323733614631 | 0.0585

