Comparison: RAF-DB vs FairFace
Emotion: Surprise
Age Group Pair | D Value | P Value
Emotion: Happiness
Age Group Pair | D Value | P Value
0-2 vs 3-9 | -0.2235342220285641 | 0.0162
0-2 vs 10-19 | -0.31721828055400964 | 0.0747
0-2 vs 20-29 | 0.45448339410265526 | 0.0105
0-2 vs 30-39 | 0.18212452699918924 | 0.091
0-2 vs 40-49 | -0.7039200540737166 | 0.0998
0-2 vs 50-59 | -0.3647160300363649 | 0.0135
0-2 vs 60-69 | -0.6601298738543259 | 0.0998
0-2 vs 70+ | -0.850682408166986 | 0.0568
3-9 vs 10-19 | 0.503547852638791 | 0.0062
3-9 vs 20-29 | 0.6575575678785259 | 0.0733
3-9 vs 30-39 | 0.9376149072153406 | 0.0871
3-9 vs 40-49 | -0.0637287074349802 | 0.0024
3-9 vs 50-59 | 0.22462752261279464 | 0.0923
3-9 vs 60-69 | -0.0696444853367782 | 0.0746
3-9 vs 70+ | -0.0797672490871528 | 0.0232
10-19 vs 20-29 | 0.7336810420317332 | 0.0907
10-19 vs 30-39 | 1.000900393520391 | 0.051
10-19 vs 40-49 | 0.05354656861274409 | 0.0184
10-19 vs 50-59 | 0.32564895101888935 | 0.0994
10-19 vs 60-69 | 0.05779819416614572 | 0.0821
10-19 vs 70+ | -0.01718560020006579 | 0.0071
20-29 vs 30-39 | 1.2235794612172965 | 0.0524
20-29 vs 40-49 | 0.22285618703343416 | 0.0369
20-29 vs 50-59 | 0.6549176039739345 | 0.0809
20-29 vs 60-69 | 0.374742151529776 | 0.0796
20-29 vs 70+ | 0.21360215372235045 | 0.069
30-39 vs 40-49 | 0.45045467284052504 | 0.0168
30-39 vs 50-59 | 0.9119964331069897 | 0.0723
30-39 vs 60-69 | 0.4525997234497032 | 0.0856
30-39 vs 70+ | 0.39729460078462914 | 0.0278
40-49 vs 50-59 | -0.17244801490985964 | 0.0182
40-49 vs 60-69 | -0.44814386392340816 | 0.0655
40-49 vs 70+ | -0.4879231688428949 | 0.034
50-59 vs 60-69 | -0.13323755269816137 | 0.0913
50-59 vs 70+ | -0.14273108263325554 | 0.0845
60-69 vs 70+ | -0.5114495703219043 | 0.004

Emotion: Sadness
Age Group Pair | D Value | P Value
0-2 vs 3-9 | -0.06430772328621863 | 0.0612
0-2 vs 10-19 | -0.03885225610806625 | 0.0943
0-2 vs 20-29 | -0.015548903030452385 | 0.0559
0-2 vs 30-39 | -0.03545657623838309 | 0.0404
0-2 vs 40-49 | -0.11217337168301594 | 0.0534
0-2 vs 50-59 | 0.08117328621903394 | 0.0185
0-2 vs 60-69 | -0.005711431823467111 | 0.0168
0-2 vs 70+ | 0.0359309817314625 | 0.0653
3-9 vs 10-19 | 0.07273458532773872 | 0.0102
3-9 vs 20-29 | -0.026432230274252767 | 0.0519
3-9 vs 30-39 | -0.085092524116044 | 0.0547
3-9 vs 40-49 | -0.04451342575143639 | 0.0143
3-9 vs 50-59 | -0.0019858488141897483 | 0.0344
3-9 vs 60-69 | 0.0037647512985970375 | 0.0062
3-9 vs 70+ | -0.0007733586628413405 | 0.088
10-19 vs 20-29 | -0.035954617379287526 | 0.043
10-19 vs 30-39 | -0.036541944717725226 | 0.047
10-19 vs 40-49 | -0.02869731431696526 | 0.0308
10-19 vs 50-59 | -0.05004269361150992 | 0.0628
10-19 vs 60-69 | 0.03242060816581754 | 0.0084
10-19 vs 70+ | -0.033960891278995216 | 0.0228
20-29 vs 30-39 | -0.010008034618961409 | 0.028
20-29 vs 40-49 | -0.0429096521640122 | 0.0312
20-29 vs 50-59 | -0.007444187545945878 | 0.0814
20-29 vs 60-69 | 0.06886934737094921 | 0.0229
20-29 vs 70+ | 0.16814267123113133 | 0.0549
30-39 vs 40-49 | 0.05200568530728038 | 0.0309
30-39 vs 50-59 | 0.043284886344363414 | 0.072
30-39 vs 60-69 | -0.11667714844103444 | 0.0828
30-39 vs 70+ | 0.028258443283021194 | 0.0948
40-49 vs 50-59 | 0.020155310462710293 | 0.0187
40-49 vs 60-69 | 0.012794287133821285 | 0.0791
40-49 vs 70+ | 0.053959951864329496 | 0.0176
50-59 vs 60-69 | -0.09934359976597819 | 0.0228
50-59 vs 70+ | 0.10693545152220259 | 0.0635
60-69 vs 70+ | 0.05558262499106567 | 0.0788

Emotion: Anger
Age Group Pair | D Value | P Value
0-2 vs 3-9 | 0.04758502049748108 | 0.0692
0-2 vs 10-19 | 0.025910067704638422 | 0.0457
0-2 vs 20-29 | -0.02481542924573793 | 0.0332
0-2 vs 30-39 | -0.0031491895237255323 | 0.0339
0-2 vs 40-49 | 0.0045543053553207535 | 0.0217
0-2 vs 50-59 | -0.0010530094311397076 | 0.0393
0-2 vs 60-69 | -0.02614079197629152 | 0.0752
0-2 vs 70+ | -0.026262194432089086 | 0.0349
3-9 vs 10-19 | 0.010023325864173182 | 0.0079
3-9 vs 20-29 | -0.015787618005741355 | 0.0515
3-9 vs 30-39 | 0.004549950118535559 | 0.0877
3-9 vs 40-49 | -0.004744177433835906 | 0.001
3-9 vs 50-59 | 0.007296376909070854 | 0.0026
3-9 vs 60-69 | 0.07293650295661028 | 0.0773
3-9 vs 70+ | 0.007424469877373412 | 0.029
10-19 vs 20-29 | -0.03998425815620069 | 0.08
10-19 vs 30-39 | 0.01790977165125846 | 0.0609
10-19 vs 40-49 | -0.016664193294088952 | 0.0209
10-19 vs 50-59 | -0.057581781920366476 | 0.0259
10-19 vs 60-69 | 0.00447721728856587 | 0.0485
10-19 vs 70+ | 0.0038353721909709865 | 0.0127
20-29 vs 30-39 | -0.001981867174348041 | 0.0278
20-29 vs 40-49 | -0.035574353777835487 | 0.0214
20-29 vs 50-59 | 0.030623393573714464 | 0.0384
20-29 vs 60-69 | -0.013245922899073087 | 0.0955
20-29 vs 70+ | 0.0017482676847914477 | 0.0302
30-39 vs 40-49 | -0.03405276895705506 | 0.0347
30-39 vs 50-59 | 0.00941826524387009 | 0.058
30-39 vs 60-69 | -0.00927999028278025 | 0.072
30-39 vs 70+ | 0.009183829221746924 | 0.0226
40-49 vs 50-59 | 0.033801601038083724 | 0.0141
40-49 vs 60-69 | 0.12545120966984327 | 0.0517
40-49 vs 70+ | 0.052679586329504535 | 0.0384
50-59 vs 60-69 | 0.025522757139051482 | 0.044
50-59 vs 70+ | -0.018609331612204287 | 0.0275
60-69 vs 70+ | 0.014573173297237743 | 0.0925

Emotion: Neutral
Age Group Pair | D Value | P Value
0-2 vs 3-9 | 0.05085769037177034 | 0.0048
0-2 vs 10-19 | 0.02720479737595838 | 0.0277
0-2 vs 20-29 | -0.0075262727243599874 | 0.013
0-2 vs 30-39 | -0.09844520098186064 | 0.0597
0-2 vs 40-49 | -0.0027367528457254153 | 0.0182
0-2 vs 50-59 | 0.0014500033429513516 | 0.0639
0-2 vs 60-69 | -0.044612331610731706 | 0.0138
0-2 vs 70+ | -0.0006003192128413539 | 0.0339
3-9 vs 10-19 | 0.0002998386611761276 | 0.0882
3-9 vs 20-29 | -0.035584253148553485 | 0.0811
3-9 vs 30-39 | -0.031017702689227516 | 0.0027
3-9 vs 40-49 | 0.04130105642880426 | 0.0672
3-9 vs 50-59 | 0.1351872165140828 | 0.0556
3-9 vs 60-69 | 0.016081508240706435 | 0.0699
3-9 vs 70+ | 0.09986843667826314 | 0.0521
10-19 vs 20-29 | -0.09254349306329263 | 0.0379
10-19 vs 30-39 | -0.056323400195155464 | 0.0517
10-19 vs 40-49 | -0.0027329824514492774 | 0.0958
10-19 vs 50-59 | -0.013650106559400554 | 0.0804
10-19 vs 60-69 | 0.004733139314991633 | 0.0149
10-19 vs 70+ | 0.03057932498703842 | 0.0184
20-29 vs 30-39 | -0.15624201961669199 | 0.0954
20-29 vs 40-49 | 0.10407982690930023 | 0.0785
20-29 vs 50-59 | 0.010733562611369003 | 0.0449
20-29 vs 60-69 | 0.05929526406191852 | 0.0311
20-29 vs 70+ | 0.012419871540794552 | 0.0762
30-39 vs 40-49 | 0.012042187659326086 | 0.0355
30-39 vs 50-59 | -0.010865070751263944 | 0.019
30-39 vs 60-69 | -0.0487279632184599 | 0.0781
30-39 vs 70+ | -0.006018419330892201 | 0.0796
40-49 vs 50-59 | 0.15473938673523197 | 0.0577
40-49 vs 60-69 | 0.010595843151777019 | 0.0124
40-49 vs 70+ | 0.15126528325599797 | 0.0957
50-59 vs 60-69 | -0.013232475145521977 | 0.0924
50-59 vs 70+ | 0.1401116628302364 | 0.0808
60-69 vs 70+ | -0.010001900349711096 | 0.0268

