Comparison: AffectNet vs FairFace
Emotion: Surprise
Race Group Pair | D Value | P Value
S.A vs M.E | -0.2087626779590918 | 0.0691
S.A vs L.H | -0.08604574052200527 | 0.019
M.E vs L.H | -0.04154425170544774 | 0.0043

Emotion: Neutral
Race Group Pair | D Value | P Value
White vs Black | 0.10599505845934644 | 0.0733
White vs Indian | 0.09841081500600359 | 0.0142
White vs East | 0.04683685495073559 | 0.0423
White vs S.A | -0.0230207456679502 | 0.0465
White vs M.E | 0.0021191614900677703 | 0.026
White vs L.H | -0.32541192939876923 | 0.0515
Black vs Indian | 0.37963779324084623 | 0.0883
Black vs East | 0.3285348148215672 | 0.0805
Black vs S.A | -0.09709636025720117 | 0.0345
Black vs M.E | 0.17019653878155983 | 0.0955
Black vs L.H | 0.012840479587822628 | 0.0189
Indian vs East | 0.36818299152361156 | 0.0792
Indian vs S.A | -0.09660622362637886 | 0.0858
Indian vs M.E | 0.5286953599285973 | 0.0615
Indian vs L.H | 0.07484770621407755 | 0.0271
East vs S.A | -0.028390233094093557 | 0.0229
East vs M.E | 0.5659368055449641 | 0.0559
East vs L.H | 0.06730322553284693 | 0.0391
S.A vs M.E | -0.08311965400707444 | 0.0166
S.A vs L.H | -0.2174065854777534 | 0.0177
M.E vs L.H | 0.13675108290082263 | 0.0281

